table_name,table_description,column_name&description
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,REVSD_QUTN_PART_AMNT (INTEGER) NULLABLE: REVSD_QUTN_PART_AMNT
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,REVSD_QUTN_TOTL_AMNT (INTEGER) NULLABLE: REVSD_QUTN_TOTL_AMNT
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,PICKUP_BY (STRING) NULLABLE: PICKUP_BY
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,PICKUP_TYPE (STRING) NULLABLE: PICKUP_TYPE
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,DROP_BY (STRING) NULLABLE: DROP_BY
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,DROP_TYPE (STRING) NULLABLE: DROP_TYPE
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,DROP_LOCTN (STRING) NULLABLE: DROP_LOCTN
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,DROP_REMRKS (STRING) NULLABLE: DROP_REMRKS
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,DIGNSTC_ROAD_TEST_BY (STRING) NULLABLE: DIGNSTC_ROAD_TEST_BY
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,MODL_GROP_CD (STRING) NULLABLE: MODL_GROP_CD
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,FAMLY_CD (STRING) NULLABLE: FAMLY_CD
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,Pre Invoice CRETD_DATE (DATE) NULLABLE: Pre Invoice CRETD_DATE
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,CRETD_BY (STRING) NULLABLE: CRETD_BY
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,MODFD_DATE (DATE) NULLABLE: MODFD_DATE
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,MODFD_BY (STRING) NULLABLE: MODFD_BY
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,BILL_DATE (DATE) NULLABLE: BILL_DATE
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,ESTMT_VARNC_RESN_CD (STRING) NULLABLE: ESTMT_VARNC_RESN_CD
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,SUPRVSR_CD (STRING) NULLABLE: SUPRVSR_CD
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,ELCTRCN_CD (STRING) NULLABLE: ELCTRCN_CD
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,TECH_SPECLST_CD (STRING) NULLABLE: TECH_SPECLST_CD
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,SAME_DAY_DELY_RESN_CD (STRING) NULLABLE: SAME_DAY_DELY_RESN_CD
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,RO_RE_OPN_DATE (STRING) NULLABLE: RO_RE_OPN_DATE
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,LOST_CUS_FLAG (BOOLEAN) NULLABLE: LOST_CUS_FLAG
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,REPEAT_JOB_STATS (STRING) NULLABLE: REPEAT_JOB_STATS
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,REPT_PARNT_GROP (STRING) NULLABLE: REPT_PARNT_GROP
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,REPT_LOCTN_CD (STRING) NULLABLE: REPT_LOCTN_CD
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,LAST_UPDT_DATE (DATE) NULLABLE: LAST_UPDT_DATE
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,PRE_INV_TOTL_AMNT_WOT (INTEGER) NULLABLE: PRE_INV_TOTL_AMNT_WOT
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,PRE_INV_LABR_AMNT_WOT (INTEGER) NULLABLE: PRE_INV_LABR_AMNT_WOT
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,PRE_INV_PART_AMNT_WOT (INTEGER) NULLABLE: PRE_INV_PART_AMNT_WOT
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,INTL_QUTN_TOTL_AMNT_OLD (INTEGER) NULLABLE: INTL_QUTN_TOTL_AMNT_OLD
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,PROMSD_DELVRY_DATE_OLD (DATE) NULLABLE: PROMSD_DELVRY_DATE_OLD
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,ENGN_NUMBR (STRING) NULLABLE: ENGN_NUMBR
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,RSA_IND (BOOLEAN) NULLABLE: RSA_IND
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,SHILD_IND (BOOLEAN) NULLABLE: SHILD_IND
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,SHLD_SCHEM_CD (STRING) NULLABLE: SHLD_SCHEM_CD
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,SHLD_EXPRY_DATE (DATE) NULLABLE: SHLD_EXPRY_DATE
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,RSA_SCHEM_CD (STRING) NULLABLE: RSA_SCHEM_CD
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,RSA_EXPRY_DATE (DATE) NULLABLE: RSA_EXPRY_DATE
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,JOB_CATGRY (STRING) NULLABLE: JOB_CATGRY
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,BAY_TYPE (STRING) NULLABLE: BAY_TYPE
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,BAY_APPL_TO (STRING) NULLABLE: BAY_APPL_TO
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,PICKUP_FROM_DATE (STRING) NULLABLE: PICKUP_FROM_DATE
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,PICKUP_TO_DATE (STRING) NULLABLE: PICKUP_TO_DATE
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,PICKUP_RATE (INTEGER) NULLABLE: PICKUP_RATE
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,DROP_FROM_DATE (STRING) NULLABLE: DROP_FROM_DATE
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,DROP_TO_DATE (STRING) NULLABLE: DROP_TO_DATE
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,DROP_RATE (INTEGER) NULLABLE: DROP_RATE
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,EMAIL_IND (BOOLEAN) NULLABLE: EMAIL_IND
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,EMAIL_DATE (DATE) NULLABLE: EMAIL_DATE
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,ICRE_APNT_NUMBR (STRING) NULLABLE: ICRE_APNT_NUMBR
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,COST_REV_APPRVL_RESN_CD (STRING) NULLABLE: COST_REV_APPRVL_RESN_CD
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,TIME_REV_APPRVL_RESN_CD (STRING) NULLABLE: TIME_REV_APPRVL_RESN_CD
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,DELY_RESN_REMRK_OTH (STRING) NULLABLE: DELY_RESN_REMRK_OTH
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,ESTMT_VARNC_RESN_REMRK_OTH (STRING) NULLABLE: ESTMT_VARNC_RESN_REMRK_OTH
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,SAME_DAY_DELY_RESN_REMRK_OTH (STRING) NULLABLE: SAME_DAY_DELY_RESN_REMRK_OTH
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,PENDNCY_RESN_CD (STRING) NULLABLE: PENDNCY_RESN_CD
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,PENDNCY_RESN_REMRK (STRING) NULLABLE: PENDNCY_RESN_REMRK
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,VEHICLE_BROUGHT_BY (STRING) NULLABLE: VEHICLE_BROUGHT_BY
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,BROUGHT_BY_NAME (STRING) NULLABLE: BROUGHT_BY_NAME
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,SORC_VAL (STRING) NULLABLE: SORC_VAL
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,BILL_TYPE (STRING) NULLABLE: BILL_TYPE
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,CRETD_FROM (STRING) NULLABLE: CRETD_FROM
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,CUST_APRVL_STATS (STRING) NULLABLE: CUST_APRVL_STATS
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,CUST_APRVD_AMNT (INTEGER) NULLABLE: CUST_APRVD_AMNT
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,CUST_APRVL_DELAY (STRING) NULLABLE: CUST_APRVL_DELAY
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,SHIELD_SCHEME_REG_NUMBR (STRING) NULLABLE: SHIELD_SCHEME_REG_NUMBR
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,RO_OPN_LAST_MODFD_BY (STRING) NULLABLE: RO_OPN_LAST_MODFD_BY
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,RO_OPN_LAST_MODFD_TIME (DATE) NULLABLE: RO_OPN_LAST_MODFD_TIME
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,SV_RO_CLS_MODFD_BY (STRING) NULLABLE: SV_RO_CLS_MODFD_BY
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,SV_RO_CLS_MODFD_TIME (DATE) NULLABLE: SV_RO_CLS_MODFD_TIME
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,DVI_DAMGE_DETCD (STRING) NULLABLE: DVI_DAMGE_DETCD
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,DVI_PRE_LINK (STRING) NULLABLE: DVI_PRE_LINK
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,DVI_POST_LINK (STRING) NULLABLE: DVI_POST_LINK
MH_RO_DATA.MH_RO_HDR_DETAILS,Contains Repair Order header details,DVI_CLOSE_LINK (STRING) NULLABLE: DVI_CLOSE_LINK
